model,domain,image,spatial_variance,channel_entropy
Baseline,IDD,data/IDD_Detection\JPEGImages\frontNear/BLR-2018-05-22_13-21-45_frontNear/000168_r.jpg,0.00027968353242613375,6.4396843910217285
Baseline,IDD,data/IDD_Detection\JPEGImages\frontNear/BLR-2018-05-17_15-12-45_frontNear/000414_r.jpg,0.0006100565660744905,6.467419147491455
Baseline,IDD,data/IDD_Detection\JPEGImages\highquality_16k/HYD-2018-08-24_13-02-50/0000037.jpg,0.001823499333113432,6.752373218536377
Baseline,IDD,data/IDD_Detection\JPEGImages\frontNear/BLR-2018-05-14_11-29-33_frontNear/000642_r.jpg,0.0008994345553219318,6.742724418640137
Baseline,IDD,data/IDD_Detection\JPEGImages\highquality_16k/BLR-2018-05-03_14-26-52_sideRight_right/0001473.jpg,0.0008951047784648836,6.633893013000488
Baseline,IDD,data/IDD_Detection\JPEGImages\frontNear/BLR-2018-04-19_18-06-55_frontNear/000786_r.jpg,0.0003432229277677834,6.361811637878418
Baseline,IDD,data/IDD_Detection\JPEGImages\highquality_16k/HYD-2018-08-24_13-22-50/0004204.jpg,0.0006145893130451441,6.436468124389648
Baseline,IDD,data/IDD_Detection\JPEGImages\highquality_16k/BLR-2018-06-19-06-21-44_part_15/0001770.jpg,0.0011557233519852161,7.001802444458008
Baseline,IDD,data/IDD_Detection\JPEGImages\highquality_16k/BLR-2018-06-29-10-07-38_part_14/0000510.jpg,0.0013455547159537673,6.822451591491699
Baseline,IDD,data/IDD_Detection\JPEGImages\frontNear/BLR-2018-04-19_18-06-55_frontNear/0005100.jpg,0.00045461743138730526,6.520756244659424
Baseline,IDD,data/IDD_Detection\JPEGImages\highquality_16k/BLR-2018-05-11_13-53-01_sideRight_left/0004293.jpg,0.0005012237234041095,6.670198440551758
Baseline,IDD,data/IDD_Detection\JPEGImages\sideRight/BLR-2018-05-14_11-48-09_sideRight/000492_r.jpg,0.0013715390814468265,6.872856140136719
Baseline,IDD,data/IDD_Detection\JPEGImages\sideLeft/BLR-2018-05-09_12-50-30_sideLeft/0000240.jpg,0.0010265199234709144,7.028163909912109
Baseline,IDD,data/IDD_Detection\JPEGImages\frontNear/BLR-2018-05-22_13-21-45_frontNear/0000465.jpg,0.00018497047130949795,6.231918811798096
Baseline,IDD,data/IDD_Detection\JPEGImages\frontNear/BLR-2018-04-19_17-16-55_frontNear/000486_r.jpg,0.000261401612078771,6.202756881713867
Baseline,IDD,data/IDD_Detection\JPEGImages\highquality_16k/HYD-2018-08-24_13-22-50/0006370.jpg,0.00027896027313545346,6.5072221755981445
Baseline,IDD,data/IDD_Detection\JPEGImages\highquality_16k/15-07-18-upload/0017489.jpg,0.000963354657869786,6.7134294509887695
Baseline,IDD,data/IDD_Detection\JPEGImages\frontNear/BLR-2018-04-19_17-16-55_frontNear/000306_r.jpg,0.00017597498663235456,6.017321586608887
Baseline,IDD,data/IDD_Detection\JPEGImages\highquality_16k/15-07-18-upload/0010178.jpg,0.0018643225776031613,6.9651947021484375
Baseline,IDD,data/IDD_Detection\JPEGImages\rearNear/BLR-2018-06-05_08-50-18_rearNear/0008250.jpg,0.0022087686229497194,6.976316452026367
Baseline,IDD,data/IDD_Detection\JPEGImages\sideRight/BLR-2018-05-14_13-38-46_sideRight/000258_r.jpg,0.0006076827994547784,6.7224016189575195
Baseline,IDD,data/IDD_Detection\JPEGImages\highquality_16k/BLR-2018-06-29-10-07-38_part_48/0001590.jpg,0.0016997222555801272,6.840898513793945
Baseline,IDD,data/IDD_Detection\JPEGImages\sideLeft/BLR-2018-05-14_13-38-46_sideLeft/000444_r.jpg,0.000660628080368042,6.699249267578125
Baseline,IDD,data/IDD_Detection\JPEGImages\highquality_16k/HYD-2018-08-24_13-22-50/0006636.jpg,0.001404384383931756,6.61064338684082
Baseline,IDD,data/IDD_Detection\JPEGImages\frontFar/BLR-2018-04-19_17-16-55_frontFar/001548_r.jpg,0.00014446291606873274,6.143747806549072
Baseline,IDD,data/IDD_Detection\JPEGImages\highquality_16k/15-07-18-upload/0017838.jpg,0.0010478274198248982,6.672606945037842
