epsilon,sequence,survived,total,survival_pct
0.15,MOT17-04-FRCNN,24,1050,2.2857142857142856
0.15,MOT17-04-FRCNN-Whitebox,809,1050,77.04761904761904
0.15,MOT17-04-FRCNN-Blackbox,784,1050,74.66666666666667
0.15,MOT17-09-FRCNN,192,264,72.72727272727273
0.15,MOT17-09-FRCNN-Whitebox,182,264,68.93939393939394
0.15,MOT17-09-FRCNN-Blackbox,185,264,70.07575757575758
0.15,MOT17-10-FRCNN,3,654,0.45871559633027525
0.15,MOT17-10-FRCNN-Whitebox,7,654,1.0703363914373087
0.15,MOT17-10-FRCNN-Blackbox,1,654,0.1529051987767584
0.15,MOT17-13-FRCNN,0,396,0.0
0.15,MOT17-13-FRCNN-Whitebox,0,396,0.0
0.15,MOT17-13-FRCNN-Blackbox,0,396,0.0
0.2,MOT17-02-FRCNN,317,549,57.74134790528234
0.2,MOT17-02-FRCNN-Whitebox,310,549,56.466302367941715
0.2,MOT17-02-FRCNN-Blackbox,338,549,61.56648451730419
0.2,MOT17-04-FRCNN,3,1050,0.2857142857142857
0.2,MOT17-04-FRCNN-Whitebox,77,1050,7.333333333333333
0.2,MOT17-04-FRCNN-Blackbox,67,1050,6.380952380952381
0.2,MOT17-09-FRCNN,140,264,53.03030303030303
0.2,MOT17-09-FRCNN-Whitebox,116,264,43.93939393939394
0.2,MOT17-09-FRCNN-Blackbox,158,264,59.84848484848485
0.2,MOT17-10-FRCNN,2,654,0.3058103975535168
0.2,MOT17-10-FRCNN-Whitebox,7,654,1.0703363914373087
0.2,MOT17-10-FRCNN-Blackbox,3,654,0.45871559633027525
0.2,MOT17-13-FRCNN,0,396,0.0
0.2,MOT17-13-FRCNN-Whitebox,0,396,0.0
0.2,MOT17-13-FRCNN-Blackbox,0,396,0.0
0.3,MOT17-02-FRCNN,346,549,63.02367941712204
0.3,MOT17-02-FRCNN-Whitebox,384,549,69.94535519125684
0.3,MOT17-02-FRCNN-Blackbox,390,549,71.03825136612022
0.3,MOT17-04-FRCNN,1,1050,0.09523809523809523
0.3,MOT17-04-FRCNN-Whitebox,2,1050,0.19047619047619047
0.3,MOT17-04-FRCNN-Blackbox,4,1050,0.38095238095238093
0.3,MOT17-09-FRCNN,119,264,45.07575757575758
0.3,MOT17-09-FRCNN-Whitebox,92,264,34.84848484848485
0.3,MOT17-09-FRCNN-Blackbox,97,264,36.74242424242424
0.3,MOT17-10-FRCNN,0,654,0.0
0.3,MOT17-10-FRCNN-Whitebox,0,654,0.0
0.3,MOT17-10-FRCNN-Blackbox,0,654,0.0
0.3,MOT17-13-FRCNN,0,396,0.0
0.3,MOT17-13-FRCNN-Whitebox,0,396,0.0
0.3,MOT17-13-FRCNN-Blackbox,0,396,0.0
